iter	RMSE
0	38.94512595
1	35.79065642
2	32.68940796
3	30.34497298
4	27.97407112
5	25.87466299
6	23.88621641
7	22.08801457
8	20.32945247
9	18.69373792
10	17.36775439
11	16.07494816
12	14.93236475
13	13.83320472
14	12.9057668
15	11.96904558
16	11.08510823
17	10.31391176
18	9.651848276
19	8.970731132
20	8.391356727
21	7.863676338
22	7.329299281
23	6.849694268
24	6.428065064
25	6.028020553
26	5.656862863
27	5.330067928
28	5.033892728
29	4.780665184
30	4.512454817
31	4.260046312
32	4.060522379
33	3.866078209
34	3.706759499
35	3.558060799
36	3.407302315
37	3.28172742
38	3.168125191
39	3.062707987
40	2.965237907
41	2.88557511
42	2.822222741
43	2.744274053
44	2.685790074
45	2.626691696
46	2.589846431
47	2.540583951
48	2.482721725
49	2.440311198
50	2.40194035
51	2.37516723
52	2.345401277
53	2.324475659
54	2.303711219
55	2.273943694
56	2.244387386
57	2.237514053
58	2.211091969
59	2.18692035
60	2.162098743
61	2.132463142
62	2.116613014
63	2.092550293
64	2.073376491
65	2.068239356
66	2.05525163
67	2.034007828
68	2.01258604
69	1.994391928
70	1.989227857
71	1.985478687
72	1.981712992
73	1.966106573
74	1.962608141
75	1.9552158
76	1.94913395
77	1.941538386
78	1.936147426
79	1.933280531
80	1.907026019
81	1.904009249
82	1.895047746
83	1.880649405
84	1.86501394
85	1.862351075
86	1.847848027
87	1.836925767
88	1.835265951
89	1.83306513
90	1.81853623
91	1.816554978
92	1.80634815
93	1.804967837
94	1.787367778
95	1.78590721
96	1.771945206
97	1.770399425
98	1.768956663
99	1.767735837
