iter	Passed	Remaining
0	1	159
1	3	153
2	4	158
3	6	158
4	8	156
5	9	154
6	11	151
7	12	148
8	14	145
9	15	142
10	17	140
11	19	139
12	20	139
13	22	136
14	23	134
15	25	133
16	26	130
17	28	128
18	29	126
19	31	125
20	33	124
21	34	122
22	36	120
23	37	119
24	39	117
25	40	115
26	42	113
27	43	111
28	44	109
29	46	107
30	48	106
31	49	105
32	50	103
33	52	101
34	53	99
35	55	97
36	56	96
37	57	94
38	59	92
39	60	90
40	62	89
41	63	87
42	64	85
43	66	84
44	67	82
45	68	80
46	70	79
47	71	77
48	72	75
49	74	74
50	76	73
51	77	71
52	79	70
53	80	68
54	81	67
55	83	65
56	84	63
57	85	61
58	86	60
59	88	58
60	89	57
61	91	56
62	92	54
63	94	53
64	95	51
65	96	49
66	97	48
67	99	46
68	100	45
69	102	43
70	104	42
71	105	41
72	107	39
73	108	38
74	110	36
75	111	35
76	112	33
77	114	32
78	115	30
79	117	29
80	118	27
81	120	26
82	121	24
83	123	23
84	124	21
85	125	20
86	126	18
87	128	17
88	129	15
89	129	14
90	131	12
91	132	11
92	133	10
93	134	8
94	135	7
95	136	5
96	137	4
97	138	2
98	139	1
99	139	0
