iter	RMSE
0	13.67994785
1	13.25841034
2	12.81795216
3	12.41674919
4	12.0118987
5	11.6191355
6	11.24404331
7	10.85635065
8	10.50975925
9	10.16104739
10	9.825642958
11	9.496660656
12	9.20845571
13	8.906291304
14	8.620781583
15	8.333058678
16	8.087818599
17	7.849686147
18	7.593232521
19	7.358863641
20	7.123407758
21	6.907908263
22	6.692862468
23	6.483385679
24	6.289713075
25	6.097347936
26	5.915647135
27	5.728868656
28	5.555684304
29	5.383217406
30	5.218604926
31	5.046853335
32	4.892934994
33	4.737237946
34	4.587981211
35	4.454284209
36	4.323448968
37	4.192000203
38	4.067839197
39	3.953217588
40	3.835544247
41	3.722392503
42	3.61008326
43	3.498513278
44	3.396127155
45	3.290429003
46	3.191762605
47	3.092458091
48	3.000387398
49	2.916234907
50	2.829277087
51	2.744109918
52	2.661129135
53	2.588429739
54	2.512345128
55	2.439196935
56	2.37484632
57	2.308712168
58	2.249165934
59	2.18679867
60	2.123206079
61	2.065582283
62	2.007614464
63	1.951570826
64	1.898597566
65	1.845269851
66	1.797961754
67	1.748016304
68	1.699964666
69	1.65523166
70	1.610877288
71	1.571111448
72	1.531220732
73	1.491910639
74	1.459733275
75	1.421462809
76	1.387174054
77	1.354948852
78	1.323638887
79	1.295813781
80	1.266276607
81	1.238612185
82	1.209513793
83	1.182043651
84	1.155827271
85	1.129563018
86	1.105910244
87	1.08276004
88	1.059604675
89	1.035923873
90	1.014835598
91	0.9945129289
92	0.9746110356
93	0.9577659882
94	0.940066488
95	0.9238651116
96	0.9052103514
97	0.8884239011
98	0.8716946234
99	0.8547586836
100	0.8381506039
101	0.8231412211
102	0.8086135896
103	0.7959772764
104	0.7832785365
105	0.7702643597
106	0.7581422483
107	0.7445919617
108	0.7324164708
109	0.7209623309
110	0.7102152286
111	0.699020472
112	0.6893272606
113	0.678751541
114	0.669722179
115	0.6607013149
116	0.6516782228
117	0.6431442102
118	0.6352345495
119	0.628716063
120	0.6215778701
121	0.6137619322
122	0.6075308587
123	0.6016566877
124	0.5943365877
125	0.5881023434
126	0.5835803334
127	0.5814294509
128	0.5753183479
129	0.569945686
130	0.5644649272
131	0.5617941127
132	0.5565407439
133	0.5515327913
134	0.5488647896
135	0.5439429501
136	0.5385611091
137	0.5342715928
138	0.5291483899
139	0.5259264846
140	0.5220970528
141	0.5205189241
142	0.516861472
143	0.5112261877
144	0.5097705479
145	0.5059272797
146	0.501937289
147	0.4983612456
148	0.4943267842
149	0.4905904559
150	0.4873372823
151	0.4839094935
152	0.4801098086
153	0.4789364909
154	0.4752094355
155	0.4740931765
156	0.4708910129
157	0.4696915781
158	0.4657715425
159	0.4646428716
160	0.462354024
161	0.4608427534
162	0.4583952863
163	0.4573763868
164	0.4557422662
165	0.4547616327
166	0.4523429736
167	0.4496128865
168	0.4486704006
169	0.4469051679
170	0.4455413061
171	0.4425319762
172	0.4407025795
173	0.4396726542
174	0.4386343759
175	0.4374877778
176	0.4358862387
177	0.4349933875
178	0.4340271986
179	0.4331876283
180	0.4323382136
181	0.431535922
182	0.4306419609
183	0.4299671942
184	0.4277231958
185	0.4255894228
186	0.4249867343
187	0.4242975826
188	0.4236323714
189	0.4215738995
190	0.420487989
191	0.4197069339
192	0.4190498676
193	0.416474595
194	0.4138793046
195	0.4118405223
196	0.4108975107
197	0.4100795691
198	0.4092281087
199	0.4086304808
200	0.4081240782
201	0.4076728413
202	0.4070999791
203	0.4064863233
204	0.4058869559
205	0.4028430288
206	0.4024264488
207	0.401951499
208	0.4012802892
209	0.4003976005
210	0.3999461973
211	0.399498157
212	0.3991027806
213	0.398378256
214	0.3979618567
215	0.3974739093
216	0.3970712688
217	0.3963299569
218	0.3947946569
219	0.3944141014
220	0.394040711
221	0.3936743549
222	0.3932494663
223	0.3928345746
224	0.3924909599
225	0.3920934728
226	0.3910066197
227	0.3887305442
228	0.3883536894
229	0.3880409162
230	0.3876798988
231	0.3873273763
232	0.3854224307
233	0.3841155908
234	0.3819884846
235	0.3794305521
236	0.3787303199
237	0.3784136837
238	0.378104494
239	0.3764838862
240	0.3751101177
241	0.372957814
242	0.3727097641
243	0.3713269709
244	0.3710470098
245	0.3707736461
246	0.3705067189
247	0.36824574
248	0.3671013062
249	0.3668463777
250	0.3657823801
251	0.3636990378
252	0.363455713
253	0.361979677
254	0.3610207066
255	0.3607889462
256	0.3594522154
257	0.3584599166
258	0.3564743435
259	0.3562570582
260	0.3554125445
261	0.3546591392
262	0.3533268727
263	0.352889902
264	0.3517126862
265	0.3515216569
266	0.3513351437
267	0.3511530351
268	0.3499690008
269	0.3497927908
270	0.3491949613
271	0.3483160596
272	0.3477169857
273	0.3466200454
274	0.3458624422
275	0.3447299021
276	0.3443370085
277	0.3436235517
278	0.3431102868
279	0.3423643718
280	0.3420490845
281	0.3410252024
282	0.3403790769
283	0.3390912503
284	0.3388829227
285	0.3379483279
286	0.3376442804
287	0.3371947914
288	0.3367722912
289	0.3363646224
290	0.3360939129
291	0.3358393993
292	0.335489514
293	0.3352442743
294	0.3341677558
295	0.3339337227
296	0.3337712935
297	0.3334707465
298	0.333325516
299	0.3331837938
300	0.3322056355
301	0.3316733588
302	0.3311320216
303	0.3309984875
304	0.3308681754
305	0.3307410042
306	0.3293836561
307	0.3292601628
308	0.3289856781
309	0.328394049
310	0.3282769757
311	0.327471234
312	0.3272057933
313	0.3270953249
314	0.3256909828
315	0.3251640897
316	0.3250490779
317	0.3241118691
318	0.324007528
319	0.3237839446
320	0.3233284096
321	0.3227660133
322	0.3215578758
323	0.3214583607
324	0.3209038497
