iter	Passed	Remaining
0	176	175830
1	185	92581
2	190	63220
3	194	48519
4	204	40600
5	209	34654
6	302	42905
7	339	42158
8	404	44530
9	487	48298
10	609	54787
11	650	53594
12	661	50218
13	679	47865
14	684	44929
15	694	42720
16	698	40415
17	800	43692
18	952	49192
19	1060	51951
20	1091	50866
21	1100	48918
22	1106	47011
23	1118	45473
24	1122	43787
25	1147	43002
26	1168	42109
27	1200	41660
28	1214	40678
29	1219	39426
30	1245	38936
31	1260	38120
32	1265	37070
33	1280	36376
34	1297	35763
35	1430	38293
36	1528	39786
37	1539	38979
38	1545	38076
39	1554	37302
40	1570	36740
41	1589	36265
42	1600	35618
43	1629	35407
44	1674	35538
45	1691	35071
46	1709	34660
47	1717	34059
48	1721	33409
49	1733	32930
50	1743	32439
51	1755	32000
52	1766	31568
53	1776	31128
54	1786	30692
55	1798	30320
56	1808	29927
57	1817	29511
58	1829	29180
59	1834	28748
60	1844	28395
61	1849	27986
62	1856	27617
63	1861	27222
64	1866	26847
65	1874	26523
66	1878	26161
67	1882	25803
68	1904	25699
69	1909	25371
70	1914	25044
71	1922	24778
72	1931	24526
73	1941	24297
74	1953	24088
75	1961	23851
76	1970	23619
77	1980	23407
78	1996	23273
79	2008	23094
80	2021	22936
81	2032	22755
82	2047	22626
83	2058	22450
84	2073	22322
85	2080	22114
86	2085	21881
87	2090	21663
88	2097	21471
89	2102	21261
90	2106	21043
91	2114	20868
92	2119	20675
93	2134	20569
94	2139	20377
95	2169	20427
96	2202	20506
97	2267	20872
98	2346	21358
99	2415	21738
100	2476	22040
101	2530	22276
102	2573	22412
103	2610	22487
104	2673	22784
105	2750	23194
106	2787	23260
107	2817	23271
108	2832	23151
109	2852	23077
110	2911	23319
111	2968	23539
112	3013	23654
113	3053	23733
114	3233	24881
115	3334	25408
116	3452	26058
117	3523	26337
118	3532	26153
119	3538	25952
120	3548	25779
121	3634	26156
122	3682	26258
123	3693	26094
124	3701	25913
125	3752	26026
126	3827	26309
127	3843	26183
128	3910	26403
129	3975	26605
130	4045	26837
131	4133	27183
132	4146	27029
133	4168	26936
134	4186	26823
135	4206	26721
136	4288	27014
137	4377	27342
138	4452	27582
139	4518	27757
140	4636	28247
141	4655	28126
142	4759	28520
143	4799	28531
144	4804	28329
145	4825	28226
146	4916	28528
